,Community Area Mentioned,Coordinates,Day and Time,Number of Times Liked,Number of Times Retweeted,Tweet Content
1524,o'hare,"{'coordinates': [-87.86109924, 41.98851598], 'type': 'Point'}",2016-03-10 21:27:24,27,3,"1222. (@ The Westin O'Hare in Rosemont, IL) https://t.co/ZfVRH9YSIS"
1525,o'hare,"{'coordinates': [-87.90353091, 41.97695318], 'type': 'Point'}",2016-03-10 19:58:19,0,0,🇹🇭 @ Chicago O'Hare International Airport https://t.co/7oAqm5fET0
1526,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-10 19:37:59,10,1,"I'm at Chicago O'Hare International Airport (ORD) in Chicago, IL https://t.co/cc4TDl8ghy"
1527,o'hare,"{'coordinates': [-87.90353091, 41.97695318], 'type': 'Point'}",2016-03-10 19:36:11,0,0,Almost home... have an appointment to keep... #HeyJude #LoveNugget #goinghome @ Chicago O'Hare… https://t.co/aAZefN38D0
1528,o'hare,"{'coordinates': [-87.90353091, 41.97695318], 'type': 'Point'}",2016-03-10 19:34:44,0,0,This beautiful life 💫 #nayyirahwaheed @ Chicago O'Hare International Airport https://t.co/8bjiD8tQcL
1529,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-10 19:21:37,0,0,"I'm at Chicago O'Hare International Airport (ORD) in Chicago, IL https://t.co/jT3F3LRRce"
1530,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-10 19:21:34,0,0,"I'm at Chicago O'Hare International Airport (ORD) in Chicago, IL https://t.co/XzgJcXakC3"
1531,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-10 19:02:30,0,0,"I'm at Chicago O'Hare International Airport (ORD) in Chicago, IL https://t.co/NhrdcWbRDO"
1532,o'hare,"{'coordinates': [-87.90020734, 41.9754233], 'type': 'Point'}",2016-03-10 18:47:52,0,0,"obsess much? yes! @ Tortas Frontera at Chicago O'Hare, Terminal 3 https://t.co/Cx0WbkxrBu"
1533,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-10 18:45:24,2,0,"I'm at Chicago O'Hare International Airport (ORD) in Chicago, IL https://t.co/zJMFZtgz3v"
1534,o'hare,"{'coordinates': [-87.90353091, 41.97695318], 'type': 'Point'}",2016-03-10 18:10:49,0,0,Goodbye #Chicago 🇺🇸🙏🏼🛫 @ Chicago O'Hare International Airport https://t.co/prfmLy4WAU
1535,o'hare,"{'coordinates': [-87.90353091, 41.97695318], 'type': 'Point'}",2016-03-10 17:39:18,0,0,🇺🇸🛫 #nyc @ Chicago O'Hare International Airport https://t.co/H70nhxfNhv
1536,o'hare,"{'coordinates': [-87.90353091, 41.97695318], 'type': 'Point'}",2016-03-10 17:36:18,0,0,"Next adventure #NYC 🗽🙏🏼...
Thank you God.. @ Chicago O'Hare International Airport https://t.co/jpKoN8KjSC"
1537,o'hare,"{'coordinates': [-87.90353091, 41.97695318], 'type': 'Point'}",2016-03-10 17:31:00,0,0,#tbt this was fun! @ Chicago O'Hare International Airport https://t.co/BRN9e50T0D
